,emotion
1121,neutral
1122,joy
1123,joy
1124,joy
1125,joy
1126,joy
1127,joy
1128,joy
1129,joy
1130,joy
1131,joy
1132,joy
1133,joy
1134,joy
1135,joy
1136,joy
1137,joy
1138,joy
1139,neutral
1140,neutral
1141,joy
1142,joy
1143,disgust
1144,joy
1145,neutral
1146,joy
1147,joy
1148,neutral
1149,disgust
1150,joy
1151,joy
1152,joy
1153,joy
1154,fear
1155,joy
1156,sadness
1157,joy
1158,joy
1159,joy
1160,sadness
1161,joy
1162,joy
1163,joy
1164,sadness
1165,joy
1166,joy
1167,joy
1168,joy
1169,joy
1170,joy
1171,neutral
1172,joy
1173,joy
1174,neutral
1175,neutral
1176,joy
1177,joy
1178,joy
1179,joy
1180,joy
1181,joy
1182,sadness
1183,sadness
1184,joy
1185,joy
1186,joy
1187,joy
1188,joy
1189,sadness
1190,joy
1191,joy
1192,sadness
1193,joy
1194,joy
1195,joy
1196,joy
1197,joy
1198,fear
1199,joy
1200,joy
1201,sadness
1202,joy
1203,joy
1204,joy
1205,joy
1206,joy
1207,joy
1208,joy
1209,joy
1210,joy
1211,joy
1212,joy
1213,joy
1214,joy
1215,joy
1216,joy
1217,joy
1218,joy
1219,joy
1220,joy
1221,joy
1222,joy
1223,joy
1224,joy
1225,joy
1226,joy
1227,joy
1228,neutral
1229,joy
1230,joy
1231,neutral
1232,joy
1233,joy
1234,joy
1235,joy
1236,joy
1237,joy
1238,joy
1239,joy
1240,joy
1241,joy
1242,joy
1243,joy
1244,joy
1245,joy
1246,joy
1247,joy
1248,joy
1249,joy
1250,joy
1251,joy
1252,joy
1253,joy
1254,joy
1255,joy
1256,joy
1257,joy
1258,sadness
1259,joy
1260,joy
1261,joy
1262,joy
1263,neutral
1264,joy
1265,joy
1266,joy
1267,joy
1268,joy
1269,joy
1270,neutral
1271,joy
1272,joy
1273,joy
1274,joy
1275,joy
1276,joy
1277,sadness
1278,joy
1279,anger
1280,joy
1281,sadness
1282,joy
1283,sadness
1284,joy
1285,joy
1286,joy
1287,joy
1288,joy
1289,neutral
1290,joy
1291,joy
1292,joy
1293,joy
1294,joy
1295,joy
1296,joy
1297,joy
1298,joy
1299,joy
1300,joy
1301,joy
1302,joy
1303,joy
1304,joy
1305,joy
1306,joy
1307,joy
1308,joy
1309,joy
1310,joy
1311,joy
1312,joy
1313,joy
1314,joy
1315,neutral
1316,joy
1317,joy
1318,joy
1319,joy
1320,joy
1321,joy
1322,neutral
1323,joy
1324,joy
1325,sadness
1326,joy
1327,joy
1328,joy
1329,joy
1330,joy
1331,joy
1332,joy
1333,joy
1334,joy
1335,joy
1336,joy
1337,neutral
1338,joy
1339,joy
1340,joy
1341,joy
1342,joy
1343,neutral
1344,joy
1345,joy
1346,joy
1347,joy
1348,joy
1349,joy
1350,joy
1351,neutral
1352,joy
1353,joy
1354,joy
1355,joy
1356,joy
1357,joy
1358,joy
1359,joy
1360,joy
1361,joy
1362,joy
1363,joy
1364,joy
1365,joy
1366,fear
1367,joy
1368,joy
1369,neutral
1370,joy
1371,joy
1372,joy
1373,joy
1374,joy
1375,joy
1376,joy
1377,joy
1378,joy
1379,joy
1380,joy
1381,joy
1382,joy
1383,joy
1384,joy
1385,joy
1386,neutral
1387,joy
1388,joy
1389,joy
1390,neutral
1391,neutral
1392,sadness
1393,joy
1394,neutral
1395,joy
1396,joy
1397,joy
1398,joy
1399,joy
1400,joy
1401,neutral
1402,joy
1403,joy
1404,joy
1405,joy
1406,joy
1407,joy
1408,joy
1409,joy
1410,joy
1411,joy
1412,joy
1413,sadness
1414,joy
1415,joy
1416,joy
1417,neutral
1418,joy
1419,joy
1420,joy
1421,joy
1422,joy
1423,neutral
1424,joy
1425,joy
1426,joy
1427,neutral
1428,joy
1429,joy
1430,joy
1431,sadness
1432,sadness
1433,joy
1434,joy
1435,joy
1436,joy
1437,joy
1438,anger
1439,joy
1440,joy
1441,joy
1442,joy
1443,sadness
1444,joy
1445,neutral
1446,joy
1447,joy
1448,disgust
1449,joy
1450,joy
1451,joy
1452,joy
1453,joy
1454,joy
1455,joy
1456,joy
1457,joy
1458,joy
1459,joy
1460,joy
1461,joy
1462,joy
1463,joy
1464,joy
1465,joy
1466,joy
1467,joy
1468,joy
1469,joy
1470,joy
1471,joy
1472,neutral
1473,joy
1474,joy
1475,joy
1476,joy
1477,joy
1478,joy
1479,joy
1480,joy
1481,joy
1482,joy
1483,joy
1484,anger
1485,joy
1486,disgust
1487,joy
1488,joy
1489,joy
1490,joy
1491,joy
1492,joy
1493,joy
1494,neutral
1495,joy
1496,joy
1497,joy
1498,joy
1499,joy
1500,joy
1501,joy
1502,joy
1503,joy
1504,joy
1505,neutral
1506,disgust
1507,joy
1508,joy
1509,joy
1510,joy
1511,joy
1512,disgust
1513,joy
1514,joy
1515,joy
1516,joy
1517,joy
1518,neutral
1519,joy
1520,joy
1521,joy
1522,joy
1523,joy
1524,joy
1525,neutral
1526,joy
1527,joy
1528,joy
1529,sadness
1530,joy
1531,joy
1532,joy
1533,joy
1534,joy
1535,joy
1536,joy
1537,neutral
1538,joy
1539,joy
1540,joy
1541,neutral
1542,joy
1543,joy
1544,joy
1545,joy
1546,joy
1547,joy
1548,joy
1549,joy
1550,neutral
1551,joy
1552,disgust
1553,joy
1554,joy
1555,joy
1556,joy
1557,sadness
1558,joy
1559,joy
1560,joy
1561,joy
1562,joy
1563,joy
1564,joy
1565,joy
1566,joy
1567,joy
1568,joy
1569,neutral
1570,joy
1571,joy
1572,joy
1573,joy
1574,joy
1575,joy
1576,joy
1577,joy
1578,joy
1579,joy
1580,joy
1581,joy
1582,sadness
1583,joy
1584,joy
1585,joy
1586,joy
1587,joy
1588,joy
1589,joy
1590,joy
1591,joy
1592,neutral
1593,joy
1594,sadness
1595,joy
1596,joy
1597,joy
1598,joy
1599,joy
1600,joy
1601,joy
1602,joy
1603,joy
1604,joy
1605,joy
1606,anger
1607,joy
1608,neutral
1609,joy
1610,joy
1611,joy
1612,joy
1613,joy
1614,joy
1615,joy
1616,joy
1617,joy
1618,joy
1619,joy
1620,joy
1621,joy
1622,joy
1623,neutral
1624,joy
1625,joy
1626,joy
1627,sadness
1628,joy
1629,joy
1630,joy
1631,joy
1632,joy
1633,joy
1634,joy
1635,joy
1636,joy
1637,neutral
1638,joy
1639,joy
1640,joy
1641,joy
1642,joy
1643,disgust
1644,neutral
1645,joy
1646,joy
1647,joy
1648,joy
1649,joy
1650,joy
1651,joy
1652,joy
1653,joy
1654,joy
1655,joy
1656,joy
1657,joy
1658,joy
1659,joy
1660,joy
1661,joy
1662,joy
1663,joy
1664,joy
1665,joy
1666,anger
1667,joy
1668,joy
1669,joy
1670,joy
1671,joy
1672,joy
1673,joy
1674,joy
1675,joy
1676,joy
1677,joy
1678,joy
1679,joy
1680,joy
1681,sadness
1682,joy
1683,sadness
1684,sadness
1685,joy
1686,joy
1687,joy
1688,joy
1689,joy
1690,neutral
1691,joy
1692,joy
1693,joy
1694,fear
1695,joy
1696,joy
1697,joy
1698,joy
1699,joy
1700,joy
1701,joy
1702,joy
1703,joy
1704,joy
1705,joy
1706,joy
1707,joy
1708,joy
1709,joy
1710,joy
1711,joy
1712,neutral
1713,joy
1714,joy
1715,joy
1716,joy
1717,joy
1718,joy
1719,joy
1720,neutral
1721,joy
1722,joy
1723,joy
1724,joy
1725,joy
1726,joy
1727,joy
1728,joy
1729,joy
1730,joy
1731,joy
1732,joy
1733,joy
1734,joy
1735,joy
1736,joy
1737,joy
1738,joy
1739,joy
1740,joy
1741,joy
1742,joy
1743,joy
1744,joy
1745,joy
1746,joy
1747,neutral
1748,joy
1749,joy
1750,joy
1751,joy
1752,joy
1753,joy
1754,joy
1755,joy
1756,joy
1757,joy
1758,joy
1759,joy
1760,joy
1761,neutral
1762,joy
1763,joy
1764,joy
1765,joy
1766,joy
1767,joy
1768,joy
1769,joy
1770,neutral
1771,joy
1772,joy
1773,joy
1774,joy
1775,joy
1776,joy
1777,neutral
1778,joy
1779,joy
1780,joy
1781,neutral
1782,joy
1783,joy
1784,joy
1785,joy
1786,joy
1787,joy
1788,joy
1789,joy
1790,neutral
1791,joy
1792,joy
1793,joy
1794,joy
1795,neutral
1796,joy
1797,disgust
1798,joy
1799,joy
1800,joy
1801,neutral
1802,joy
1803,joy
1804,joy
1805,joy
1806,joy
1807,joy
1808,neutral
1809,joy
1810,joy
1811,joy
1812,joy
1813,joy
1814,joy
1815,disgust
1816,joy
1817,neutral
1818,joy
1819,joy
1820,joy
1821,joy
1822,joy
1823,joy
1824,joy
1825,joy
1826,joy
1827,joy
1828,joy
1829,joy
1830,joy
1831,neutral
1832,joy
1833,joy
1834,disgust
1835,neutral
1836,joy
1837,joy
1838,neutral
1839,joy
1840,joy
1841,neutral
1842,joy
1843,joy
1844,joy
1845,neutral
1846,joy
1847,joy
1848,joy
1849,joy
1850,joy
1851,sadness
1852,joy
1853,neutral
1854,joy
1855,joy
1856,joy
1857,joy
1858,joy
1859,anger
1860,joy
1861,joy
1862,joy
1863,joy
1864,neutral
1865,joy
1866,joy
1867,joy
1868,sadness
1869,joy
1870,joy
1871,joy
1872,sadness
1873,joy
1874,joy
1875,anger
1876,joy
1877,joy
1878,joy
1879,joy
1880,joy
1881,joy
1882,joy
1883,joy
1884,joy
1885,joy
1886,joy
1887,joy
1888,joy
1889,joy
1890,joy
1891,neutral
1892,joy
1893,joy
1894,joy
1895,joy
1896,neutral
1897,sadness
1898,joy
1899,joy
1900,joy
1901,joy
1902,joy
1903,neutral
1904,joy
1905,joy
1906,joy
1907,joy
1908,joy
1909,joy
1910,joy
1911,joy
1912,joy
1913,sadness
1914,joy
1915,joy
1916,joy
1917,joy
1918,joy
1919,joy
1920,joy
1921,neutral
1922,neutral
1923,joy
1924,joy
1925,joy
1926,joy
1927,joy
1928,joy
1929,joy
1930,joy
1931,joy
1932,joy
1933,joy
1934,sadness
1935,joy
1936,joy
1937,joy
1938,anger
1939,joy
1940,joy
1941,joy
1942,sadness
1943,joy
1944,joy
1945,joy
1946,joy
1947,joy
1948,joy
1949,joy
1950,joy
1951,joy
1952,joy
1953,joy
1954,joy
1955,joy
1956,joy
1957,joy
1958,joy
1959,joy
1960,joy
1961,joy
1962,joy
1963,joy
1964,joy
1965,joy
1966,joy
1967,joy
1968,joy
1969,joy
1970,joy
1971,joy
1972,joy
1973,joy
1974,joy
1975,joy
1976,sadness
1977,joy
1978,joy
1979,joy
1980,joy
1981,joy
1982,joy
1983,joy
1984,neutral
1985,joy
1986,joy
1987,joy
1988,neutral
1989,joy
1990,joy
1991,joy
1992,joy
1993,joy
1994,joy
1995,joy
1996,joy
1997,joy
1998,sadness
1999,joy
2000,joy
2001,joy
